,reactionId,compartment,r ; p,ratelaw
158,vTLCd16,Nucleus,nuc_cong_i__MPIP2_ ;,kTLCd16_1*nuc_cong_i__MPIP2_
159,vTLCd17,Nucleus,nuc_cong_i__MPIP1_ ;,kTLCd17_1*nuc_cong_i__MPIP1_
160,vTLCd18,Nucleus,nuc_cong_i__MPIP3_ ;,kTLCd18_1*nuc_cong_i__MPIP3_
161,vTLCd19,Nucleus,nuc_prot__CCNA2_ ;,kTLCd19_1*nuc_prot__CCNA2_
162,vTLCd20,Nucleus,nuc_prot__CDN1B_ ;,kTLCd20_1*nuc_prot__CDN1B_
163,vTLCd21,Nucleus,nuc_prot_a__CADH1_ ;,kTLCd21_1*nuc_prot_a__CADH1_
164,vTLCd22,Nucleus,nuc_cong__CCNB_ ;,kTLCd22_1*nuc_cong__CCNB_
165,vTLCd23,Nucleus,nuc_prot_i__CDC20_ ;,kTLCd23_1*nuc_prot_i__CDC20_
166,vTLCd24,Nucleus,nuc_prot__WEE1_ ;,kTLCd24_1*nuc_prot__WEE1_
167,vTLCd25,Nucleus,nuc_prot__CHK1_ ;,kTLCd25_1*nuc_prot__CHK1_
168,vTLCd26,Nucleus,nuc_prot__CDN1A_ ;,kTLCd26_1*nuc_prot__CDN1A_
